bsbsbsbs,codepoint
32511221,802
22511312,803
22511411,804
13421114,805
23421122,806
12512114,807
22512122,808
23421221,809
12512213,810
13421312,811
12512312,812
13421411,813
12512411,814
14331122,815
13422122,816
14331221,817
12513122,818
13422221,819
12513221,820
31611113,821
41611121,822
31611212,823
31611311,824
22521113,825
32521121,826
21612113,827
22521212,828
21612212,829
22521311,830
21612311,831
13431113,832
23431121,833
12522113,834
13431212,835
11613113,836
12522212,837
13431311,838
11613212,839
12522311,840
11613311,841
14341121,842
13432121,843
12523121,844
11614121,845
31621112,846
31621211,847
22531112,848
21622112,849
22531211,850
21622211,851
13441112,852
12532112,853
13441211,854
11623112,855
12532211,856
11623211,857
31631111,858
22541111,859
21632111,860
13451111,861
12542111,862
11633111,863
16211132,864
16211231,865
15311123,866
25311131,867
15311222,868
15311321,869
16221131,870
15312131,871
14411114,872
24411122,873
14411213,874
24411221,875
14411312,876
14411411,877
15321122,878
14412122,879
15321221,880
14412221,881
23511113,882
33511121,883
23511212,884
23511311,885
14421113,886
24421121,887
13512113,888
23512121,889
13512212,890
14421311,891
13512311,892
15331121,893
14422121,894
13513121,895
32611112,896
32611211,897
23521112,898
22612112,899
23521211,900
22612211,901
14431112,902
13522112,903
14431211,904
12613112,905
13522211,906
12613211,907
32621111,908
23531111,909
22622111,910
14441111,911
13532111,912
12623111,913
16311122,914
16311221,915
15411113,916
25411121,917
15411212,918
15411311,919
16321121,920
15412121,921
24511112,922
24511211,923
15421112,924
14512112,925
15421211,926
14512211,927
33611111,928
